school_name,district_name,timezone,default_start_grade,default_target_credits,default_ce_residency_credits,default_cultural_competence_min,required_gened_categories,pathway_code,pathway_name,pathway_description,year_level,placement,is_required,sequence_order,course_code,course_name,credit_hours,course_type,subject_area,gen_ed_category,residency_eligible,ap_ib_exam_required,cultural_competence,wsu_equivalents,prerequisites,grade_min,grade_max,notes
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",10,required,true,1,WEB_1700,Bus Office Spec (WEB 1700),3,LOCAL,Business,,false,false,false,WEB 1700 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",10,required,true,2,ENTR_1000,Entrepreneurship,3,LOCAL,Business,,false,false,false,ENTR 1000 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",10,required,true,3,AP_GEOGRAPHY,AP Geography,3,AP,Social Studies,Social Sciences,false,true,true,GEO 1300 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",11,required,true,1,BSAD_1010,Business Mgmt,3,LOCAL,Business,,false,false,false,BSAD 1010 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",11,required,true,2,STAT_1040,STAT 1040,3,CE,Math,Quantitative Literacy,true,false,false,STAT 1040 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",11,required,true,3,CE_ENG_1010,English 1010 CE,3,CE,English,English 1,true,false,false,ENG 1010 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",11,required,true,4,AP_US_HIST,AP U.S. History,3,AP,Social Studies,American Institutions,false,true,false,HIST 1700 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",12,required,true,1,IB_ECON,IB Economics,3,IB,Social Studies,Social Sciences,false,true,false,ECON 1010 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",12,required,true,2,CE_COMM_2110,CE Comm 2110,3,CE,Humanities,Humanities,true,false,false,COMM 2110 (3),,,,
Ogden High School,Ogden School District,America/Denver,10,60,20,1,English 1; English 2; Quantitative Literacy; Humanities; American Institutions; Creative Arts; Social Sciences; Life Sciences; Physical Sciences,business,Business & Humanities,"Business, Law, Liberal Arts",12,required,true,3,CE_ENG_2015,English 2015 CE,3,CE,English,English 2,true,false,false,ENG 2015 (3),,,,
